#Metadata; Text; Color (ARGB)
#Example: Metadata/Chests/StrongBoxes/Strongbox; ; ff00FF00

# BLIGHT
Metadata/Monsters/GemlingLegionnaire/GemlingLegionnaire4; 古灵使徒斗士
Metadata/Monsters/GemlingLegionnaire/GemlingLegionnaire5; 古灵使徒斗士
Metadata/Monsters/GemlingLegionnaire/GemlingLegionnaire6; 古灵使徒斗士
Metadata/Monsters/GemlingLegionnaire/GemlingLegionnaire7; 古灵使徒斗士

Metadata/Monsters/Revenant/RevenantBoss; 骸骨皇后
Metadata/Monsters/Revenant/RevenantMapBoss; 瑟拉西亚
Metadata/Monsters/DaressoExiles/ExileArenaMarauder; 双手剑士凯席尔斯
Metadata/Monsters/DaressoExiles/ExileArenaWitch; 莫菲亚
Metadata/Monsters/DaressoExiles/ExileArenaRanger; 自由斗士费利克斯
Metadata/Monsters/GladiatorBosses/GladiatorBossSupport; 自由斗士费利克斯
Metadata/Monsters/GladiatorBosses/GladiatorBossLeader; 梅夫雅
Metadata/Monsters/GladiatorBosses/GladiatorBossElite; 双手剑士凯席尔斯
Metadata/Monsters/GladiatorBosses/GladiatorBossSupportMap; 天空之象
Metadata/Monsters/GladiatorBosses/GladiatorBossLeaderMap; 天空之象
Metadata/Monsters/GladiatorBosses/GladiatorBossEliteMap; 造物之象

Metadata/Monsters/Daemon/TempestDaemonSmokeTrail_; 风暴之魔
Metadata/Monsters/Daemon/TempestDaemonDevourCorpses; 风暴之魔
Metadata/Monsters/Daemon/TempestDaemonCharges; 风暴之魔
Metadata/Monsters/Daemon/TempestDaemonEnvironmentalFire; 风暴之魔
Metadata/Monsters/Daemon/TempestDaemonEnvironmentalUberFire; 风暴之魔
Metadata/Monsters/Daemon/TempestDaemonEnvironmentalCold; 风暴之魔
Metadata/Monsters/Daemon/TempestDaemonEnvironmentalUberCold; 风暴之魔
Metadata/Monsters/Daemon/TempestDaemonEnvironmentalLightning; 风暴之魔
Metadata/Monsters/Daemon/TempestDaemonEnvironmentalUberLightning; 风暴之魔
Metadata/Monsters/Daemon/TempestDaemonEnvironmentalNecromancy; 风暴之魔
Metadata/Monsters/Daemon/TempestDaemonEnvironmentalUberNecromancy; 风暴之魔
Metadata/Monsters/Daemon/TempestDaemonEnvironmentalPhysical; 风暴之魔
Metadata/Monsters/Daemon/TempestDaemonEnvironmentalUberPhysical; 风暴之魔
Metadata/Monsters/Daemon/TempestDaemonEnvironmentalCurses; 风暴之魔
Metadata/Monsters/Daemon/TempestDaemonEnvironmentalSmoke; 风暴之魔

# HARBINGER
Metadata/Monsters/Avatar/Avatar1; 先驱者1; ff3399ff
Metadata/Monsters/Avatar/Avatar2; 先驱者2; ff3399ff
Metadata/Monsters/Avatar/Avatar3_; 先驱者3_; ff3399ff
Metadata/Monsters/Avatar/Avatar4; 先驱者4; ff3399ff
Metadata/Monsters/Avatar/Avatar5; 先驱者5; ff3399ff
Metadata/Monsters/Avatar/Avatar6; 先驱者6; ff3399ff
Metadata/Monsters/Avatar/Avatar7; 先驱者7; ff3399ff
Metadata/Monsters/Avatar/Avatar8; 先驱者8; ff3399ff
Metadata/Monsters/Avatar/Avatar9; 先驱者9; ff3399ff
Metadata/Monsters/Avatar/Avatar10; 先驱者10; ff3399ff
Metadata/Monsters/Avatar/Avatar11; 先驱者11; ff3399ff
Metadata/Monsters/Avatar/Avatar11Summoned_; 先驱者11召唤物; ff3399ff
Metadata/Monsters/Avatar/Avatar12; 先驱者12; ff3399ff
Metadata/Monsters/Avatar/Avatar12Summoned; 先驱者12召唤物; ff3399ff
Metadata/Monsters/Avatar/Avatar13; 先驱者13; ff3399ff
Metadata/Monsters/Avatar/Avatar13Summoned; 先驱者13召唤物; ff3399ff
Metadata/Monsters/Avatar/Avatar14; 先驱者14; ff3399ff
Metadata/Monsters/Avatar/Avatar14Summoned; 先驱者14召唤物; ff3399ff
Metadata/Monsters/Avatar/Avatar15; 先驱者15; ff3399ff
Metadata/Monsters/Avatar/Avatar15Summoned; 先驱者15召唤物; ff3399ff
Metadata/Monsters/Avatar/Avatar16; 先驱者16; ff3399ff
Metadata/Monsters/Avatar/Avatar16Summoned; 先驱者16召唤物; ff3399ff
Metadata/Monsters/Avatar/Avatar17; 先驱者17; ff3399ff
Metadata/Monsters/Avatar/Avatar17Summoned; 先驱者17召唤物; ff3399ff
Metadata/Monsters/Avatar/Avatar18; 先驱者18; ff3399ff
Metadata/Monsters/Avatar/Avatar18Summoned; 先驱者18召唤物; ff3399ff
Metadata/Monsters/Avatar/Avatar19; 先驱者19; ff3399ff
Metadata/Monsters/Avatar/Avatar19Summoned; 先驱者19召唤物; ff3399ff
Metadata/Monsters/Avatar/Avatar20; 先驱者20; ff3399ff
# Apparently better Harbingers?
Metadata/Monsters/Avatar/Avatar21; 先驱者21; ffff00ff
Metadata/Monsters/Avatar/Avatar22; 先驱者22; ffff00ff
Metadata/Monsters/Avatar/Avatar23; 先驱者23; ffff00ff
Metadata/Monsters/Avatar/Avatar24_; 先驱者24; ffff00ff
Metadata/Monsters/Avatar/Avatar25; 先驱者25; ffff00ff
Metadata/Monsters/Avatar/Avatar26; 先驱者26; ffff00ff
Metadata/Monsters/Avatar/Avatar27; 先驱者27; ffff00ff
Metadata/Monsters/Avatar/Avatar28; 先驱者28; ffff00ff
Metadata/Monsters/Avatar/Avatar29; 先驱者29; ffff00ff
Metadata/Monsters/Avatar/Avatar30; 先驱者30; ffff00ff
Metadata/Monsters/Avatar/Avatar31; 先驱者31; ffff00ff
Metadata/Monsters/Avatar/Avatar32; 先驱者32; ffff00ff
Metadata/Monsters/Avatar/Avatar33; 先驱者33; ffff00ff
Metadata/Monsters/Avatar/Avatar34; 先驱者34; ffff00ff
Metadata/Monsters/Avatar/Avatar35; 先驱者35; ffff00ff


# 先驱BOSS
Metadata/Monsters/Avatar/AvatarBossAtlas; 先驱者BOSS; ffff00ff
# Hillock Event
Metadata/Monsters/ZombieBoss/ZombieBossHillockSpecialEvent_; Uber Hillock; ff00ff00




# BETRAYAL
Metadata/NPC/League/Betrayal/BetrayalNinjaCopRaid; 辛迪加; ff00FF00
Metadata/Monsters/LeagueBetrayal/FortWall/FortWall; 辛迪加; ff00FF00
Metadata/Monsters/LeagueBetrayal/BetrayalOriathBlackguardMeleeChampionCartGuard; 辛迪加; ff00FF00

Metadata/Monsters/LeagueBetrayal/BetrayalCatarina; 亡灵大师卡塔莉娜; ff36b4b4

Metadata/NPC/League/Incursion/TreasureHunterWild; 阿尔瓦，探索大师; ff64ffff
Metadata/Monsters/Masters/Einhar; 伊恩哈尔，魔兽大师; ff64ffff
Metadata/NPC/League/Delve/DelveMinerWildVein; 尼克; ff64ffff
Metadata/NPC/League/Delve/DelveMinerWildChest; 尼克; ff64ffff

# CRAFTING RECIPES
Metadata/Terrain/Missions/CraftingUnlocks/BeastRecipe; 解锁工艺; ff964DF1
Metadata/Terrain/Missions/CraftingUnlocks/Helena; 解锁工艺; ff964DF1
Metadata/Terrain/Missions/CraftingUnlocks/RecipeDecayed; 解锁工艺; ff964DF1
Metadata/Terrain/Missions/CraftingUnlocks/RecipeDelve; 解锁工艺; ff964DF1
Metadata/Terrain/Missions/CraftingUnlocks/RecipeGravestone; 解锁工艺; ff964DF1
Metadata/Terrain/Missions/CraftingUnlocks/RecipeMap; 解锁工艺; ff964DF1
Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockBase; 解锁工艺; ff964DF1
Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockBeast; 解锁工艺; ff964DF1
Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockBoundBook; 解锁工艺; ff964DF1
Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockDecayed; 解锁工艺; ff964DF1
Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockDelve; 解锁工艺; ff964DF1
Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockGoldenBookstand; 解锁工艺; ff964DF1
Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockGravestone; 解锁工艺; ff964DF1
Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockKaruiPillar; 解锁工艺; ff964DF1
Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockLabyrinth; 解锁工艺; ff964DF1
Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockMap; 解锁工艺; ff964DF1
Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockRunestone; 解锁工艺; ff964DF1
Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockTemplarBook; 解锁工艺; ff964DF1
Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockTemplarBookNoHelena; 解锁工艺; ff964DF1
Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockVaal; 解锁工艺; ff964DF1

# HIDEOUTS
Metadata/NPC/Missions/HelenaClaim; 可解锁藏身处; ffff0000

# BESTIARY
Metadata/Monsters/LeagueBestiary/BlackScorpionBestiary;暗夜毒蝎 ; ffd2742d
Metadata/Monsters/LeagueBestiary/ParasiticSquidBestiary;深海寄生者; ffd2742d
Metadata/Monsters/LeagueBestiary/TigerBestiarySpiritBoss;大地初子 法瑞尔 传奇; ffd2742d
Metadata/Monsters/LeagueBestiary/MarakethBirdSpiritBoss;苍空初子 萨奇沃 传奇; ffd2742d
Metadata/Monsters/LeagueBestiary/SpiderPlatedBestiarySpiritBoss;Fenumus, 暗夜初子 费努姆斯; ffd2742d
Metadata/Monsters/LeagueBestiary/NessaCrabBestiarySpiritBoss;Craiceann, 深海初子 克林斯昂 ; ffd2742d
Metadata/Monsters/LeagueBestiary/CrabParasiteLargeBestiary_;深海野蛮巨蟹; ffd2742d
Metadata/Monsters/LeagueBestiary/HellionBestiary;大地烈炎地狱巨犬; ffd2742d
Metadata/Monsters/LeagueBestiary/BestiaryMonkeyChiefBlood;大地酋长; ffd2742d
Metadata/Monsters/LeagueBestiary/MonkeyBloodBestiary;大地巨猿; ffd2742d
Metadata/Monsters/LeagueBestiary/GoatmanLeapSlamBestiary;大地羊人; ffd2742d
Metadata/Monsters/LeagueBestiary/BeastCaveBestiary;大地野兽; ffd2742d
Metadata/Monsters/LeagueBestiary/DropBearBestiary;大地巨熊; ffd2742d
Metadata/Monsters/LeagueBestiary/KiwethBestiary;苍空反刍鸟; ffd2742d
Metadata/Monsters/LeagueBestiary/Spider5Bestiary;暗夜黑寡妇; ffd2742d
Metadata/Monsters/LeagueBestiary/SeaWitchSpawnBestiary;深海墨鱼; ffd2742d
Metadata/Monsters/LeagueBestiary/SquidBestiary;深海守望者 ; ffd2742d
Metadata/Monsters/LeagueBestiary/SnakeBestiary1;苍空眼镜蛇 ; ffd2742d
Metadata/Monsters/LeagueBestiary/RootSpiderBestiary_;暗夜吞噬者 ; ffd2742d
Metadata/Monsters/LeagueBestiary/SnakeBestiary2;苍空毒血蛇 ; ffd2742d
Metadata/Monsters/LeagueBestiary/InsectSpawnerBestiary;暗夜女王 ; ffd2742d
Metadata/Monsters/LeagueBestiary/FrogBestiary;深海裂齿兽; ffd2742d
Metadata/Monsters/LeagueBestiary/BestiarySpiker;大地针背兽; ffd2742d
Metadata/Monsters/LeagueBestiary/SandLeaperBestiary;暗夜收割者; ffd2742d
Metadata/Monsters/LeagueBestiary/BestiaryBull;大地石肌牛; ffd2742d
Metadata/Monsters/LeagueBestiary/GemFrogBestiary;深海奇美拉; ffd2742d
Metadata/Monsters/LeagueBestiary/HoundBestiary;大地熔岩猎犬; ffd2742d
Metadata/Monsters/LeagueBestiary/PitbullBestiary;大地深邃猎犬; ffd2742d
Metadata/Monsters/LeagueBestiary/VultureBestiary;苍空秃鹰; ffd2742d
Metadata/Monsters/LeagueBestiary/IguanaBestiary;苍空奇美拉; ffd2742d
Metadata/Monsters/LeagueBestiary/RhoaBestiary;苍空恐喙鸟; ffd2742d
Metadata/Monsters/LeagueBestiary/ShieldCrabBestiary;深海附壳巨蟹; ffd2742d
Metadata/Monsters/LeagueBestiary/SandSpitterBestiary;深海喷砂爪蟹; ffd2742d
Metadata/Monsters/LeagueBestiary/LynxBestiary;大地巨型猞猁; ffd2742d
Metadata/Monsters/LeagueBestiary/WolfBestiaryMinion;大地巨狼; ffd2742d
Metadata/Monsters/LeagueBestiary/TigerBestiary;大地巨虎; ffd2742d
Metadata/Monsters/LeagueBestiary/Avians/MarakethBirdBestiary;苍空凶鸟; ffd2742d
Metadata/Monsters/LeagueBestiary/SpiderPlatedBestiary;暗夜混毒魔蛛; ffd2742d
Metadata/Monsters/LeagueBestiary/CrabSpiderBestiary;深海蜘蛛蟹; ffd2742d
Metadata/Monsters/LeagueBestiary/HellionBestiary2;大地冰霜地狱巨犬; ffd2742d
Metadata/Monsters/LeagueBestiary/SpiderPlagueBestiary;暗夜异蛛; ffd2742d
Metadata/Monsters/LeagueAzmeri/GullGoliathBestiary;黑羽之莫丽根; ffd2742d

# 势力boss
Metadata/Monsters/AtlasExiles/AtlasExile1Influence_; 圣战者巴兰; ff36B400
Metadata/Monsters/AtlasExiles/AtlasExile1Influence; 圣战者巴兰; ff36B400
Metadata/Monsters/AtlasExiles/AtlasExile2Influence; 维利塔妮娅; ff36B400
Metadata/Monsters/AtlasExiles/AtlasExile2Influence_; 维利塔妮娅; ff36B400
Metadata/Monsters/AtlasExiles/AtlasExile3; 阿尔赫兹敏; ff36B400
Metadata/Monsters/AtlasExiles/AtlasExile3.ao; 阿尔赫兹敏; ff36B400
Metadata/Monsters/AtlasExiles/AtlasExile3Influence_; 阿尔赫兹敏; ff36B400
Metadata/Monsters/AtlasExiles/AtlasExile3Influence; 阿尔赫兹敏; ff36B400
Metadata/Monsters/AtlasExiles/AtlasExile4Influence_; 狄洛克斯; ff36B400
Metadata/Monsters/AtlasExiles/AtlasExile4Influence; 狄洛克斯; ff36B400

# METAMORPH
Metadata/NPC/League/Metamorphosis/MetamorphosisNPCWild; 灾变; ff36B400
#Metadata/MiscellaneousObjects/Metamorphosis/MetamorphosisVat

# 迷雾
Metadata/MiscellaneousObjects/Affliction/AfflictionInitiator; 迷雾; ff36B400

#夺宝
Metadata/Chests/LeagueHeist/HeistSmugglersCoinCacheOutdoors;夺宝; ff36B400
Metadata/Chests/LeagueHeist/HeistSmugglersCoinCache;夺宝; ff36B400


# 庄园
Metadata/Terrain/Leagues/Harvest/Objects/HarvestFeatureChest;庄园;ff36B400
Metadata/Terrain/Leagues/Harvest/harvest_encounter.arm;庄园; ff037ffc
Metadata/Terrain/Leagues/Harvest;庄园;ff037ffc

# 祭坛
Metadata/Terrain/Leagues/Ritual/RitualRunelnteractable; 驱灵祭坛; ff36b4b4
Metadata/Terrain/Leagues/Ritual/RitualRuneLight; 驱灵祭坛; ff36b4b4
Metadata/Terrain/Leagues/Ritual/RitualRuneInteractable; 驱灵祭坛; ff36b4b4

#军团
Metadata/Terrain/Leagues/Legion/Objects/LegionInitiator; 军团; ff36b4b4
Metadata/Terrain/Leagues/Legion/Objects/LegionFlashLight; 军团; ff36b4b4


#先祖密藏
Metadata/Monsters/LeagueExpedition/NPC/ExpeditionRog;交易人罗格 [做装];ff00FF00
Metadata/Monsters/LeagueExpedition/NPC/Rog.ao;交易人罗格 [做装];ff00FF00
Metadata/Monsters/LeagueExpedition/NPC/ExpeditionTujen;图金 [换通货];ff00FF00
Metadata/Monsters/LeagueExpedition/NPC/Tujen.ao;图金 [换通货];ff00FF00
Metadata/Monsters/LeagueExpedition/NPC/Gwennen.ao;桂温妮 [赌猎首];ff00FF00
Metadata/Monsters/LeagueExpedition/NPC/ExpeditionGwennen_;桂温妮 [赌猎首];ff00FF00
Metadata/Monsters/LeagueExpedition/NPC/ExpeditionDannig;丹宁 [交换先祖密藏通货];ff00FF00
Metadata/Monsters/LeagueExpedition/NPC/Dannig.ao;丹宁 [交换先祖密藏通货];ff00FF00
#箱子
Metadata/Chests/StrongBoxes/StrongboxDivination;神圣的秘宝[命运卡];ff36b4b5
Metadata/Chests/StrongBoxes/StrongboxScarab;侦探的保险箱[圣甲虫];ff36b4b5

# 精华 T8
Metadata/Monsters/Daemon/EssenceDaemonMadness1; 浮夸精华 [顶级精华]; ffff0000
Metadata/Monsters/Daemon/EssenceDaemonInsanity1; 错乱精华 [顶级精华]; ffff0000
Metadata/Monsters/Daemon/EssenceDaemonHorror1; 极恐精华 [顶级精华]; ffff0000
Metadata/Monsters/Daemon/EssenceDaemonTerror1_; 谵妄精华 [顶级精华]; ffff0000
Metadata/Items/Currency/CurrencyGreaterEssence1Life; 卓越躯体精华; ffff0000
Metadata/Items/Currency/CurrencyGreaterEssence1Mana; 卓越心灵精华; ffff0000
Metadata/Items/Currency/CurrencyGreaterEssence1Defences; 卓越强化精华; ffff0000
Metadata/Items/Currency/CurrencyGreaterEssence1Fire; 卓越烈焰精华; ffff0000
Metadata/Items/Currency/CurrencyGreaterEssence1Physical; 卓越折磨精华; ffff0000
Metadata/Items/Currency/CurrencyGreaterEssence1Cold; 卓越寒冰精华; ffff0000
Metadata/Items/Currency/CurrencyGreaterEssence1Lightning; 卓越电击精华; ffff0000
Metadata/Items/Currency/CurrencyGreaterEssence1Chaos; 卓越毁灭精华; ffff0000
Metadata/Items/Currency/CurrencyGreaterEssence1Attack; 卓越战斗精华; ffff0000
Metadata/Items/Currency/CurrencyGreaterEssence1Caster; 卓越法术精华; ffff0000
Metadata/Items/Currency/CurrencyGreaterEssence1Speed; 卓越急速精华; ffff0000
Metadata/Items/Currency/CurrencyGreaterEssence1Attribute; 卓越无尽精华; ffff0000
# ZANA
Metadata/NPC/Missions/Wild/StrDexInt; 札娜;ffff0000 
Metadata/NPC/League/Heist/Whakano/Whakano.ao;无名先知;ffff0000
